> Task :compileJava
> Task :compileScala NO-SOURCE
> Task :processResources NO-SOURCE
> Task :classes

> Task :runJavaLocal
[server] -------------------- Match Starting --------------------
[server] immortal_chariot vs. teacher08a on streetsofnewyork
[B: #11061@64] Can sense kingLoc [55, 28] ? false at distSquared 909
[B: #12806@64] Sensed 0 robots
[B: #11028@64] Sensed 0 robots
[B: #12917@64] Sensed 0 robots
[B: #11118@64] Sensed 1 robots
[B: #10120@65] Sensed 0 robots
[B: #10819@65] Sensed 0 robots
[B: #13990@65] Going straight to cheese mine at [37, 33]
[B: #11456@65] Sensed 0 robots
[B: #11061@65] Can sense kingLoc [55, 28] ? false at distSquared 850
[B: #12806@65] Sensed 0 robots
[B: #11028@65] Sensed 0 robots
[B: #12917@65] Sensed 0 robots
[B: #11118@65] Sensed 0 robots
[B: #10120@66] Sensed 0 robots
[B: #10819@66] Sensed 1 robots
[B: #13990@66] Going straight to cheese mine at [37, 33]
[B: #11456@66] Sensed 1 robots
[B: #11061@66] Can sense kingLoc [55, 28] ? false at distSquared 850
[B: #12806@66] Sensed 0 robots
[B: #11028@66] Sensed 0 robots
[B: #12917@66] Sensed 0 robots
[B: #11118@66] Sensed 0 robots
[B: #10120@67] Sensed 0 robots
[B: #10819@67] Sensed 1 robots
[B: #13990@67] Going straight to cheese mine at [37, 33]
[B: #11456@67] Sensed 1 robots
[B: #11061@67] Can sense kingLoc [55, 28] ? false at distSquared 793
[B: #12806@67] Sensed 0 robots
[B: #11028@67] Sensed 0 robots
[B: #12917@67] Sensed 0 robots
[B: #11118@67] Sensed 0 robots
[B: #10120@68] Sensed 0 robots
[B: #10819@68] Sensed 1 robots
[B: #13990@68] Going straight to cheese mine at [37, 33]
[B: #11456@68] Sensed 1 robots
[B: #11061@68] Can sense kingLoc [55, 28] ? false at distSquared 738
[B: #12806@68] Sensed 0 robots
[B: #10072@68] Found a cheese mine at [22, 33]
[B: #10072@68] Going straight to cheese mine at [22, 33]
[B: #11028@68] Sensed 0 robots
[B: #12917@68] Sensed 0 robots
[B: #11118@68] Sensed 0 robots
[B: #10120@69] Sensed 0 robots
[B: #10819@69] Sensed 1 robots
[B: #13990@69] Going straight to cheese mine at [37, 33]
[B: #11456@69] Sensed 1 robots
[B: #11061@69] Can sense kingLoc [55, 28] ? false at distSquared 685
[B: #12806@69] Sensed 0 robots
[B: #10072@69] Going straight to cheese mine at [22, 33]
[B: #11028@69] Sensed 0 robots
[B: #12917@69] Sensed 0 robots
[B: #11118@69] Sensed 0 robots
[B: #10120@70] Sensed 0 robots
[B: #10819@70] Sensed 0 robots
[B: #13990@70] Going straight to cheese mine at [37, 33]
[B: #11456@70] Sensed 1 robots
[B: #11061@70] Can sense kingLoc [55, 28] ? false at distSquared 685
[B: #12806@70] Sensed 0 robots
[B: #10072@70] Can sense kingLoc [55, 28] ? false at distSquared 1098
[B: #11028@70] Sensed 0 robots
[B: #12917@70] Sensed 0 robots
[B: #11118@70] Sensed 0 robots
[B: #10120@71] Sensed 0 robots
[B: #10819@71] Sensed 0 robots
[B: #13990@71] Going straight to cheese mine at [37, 33]
[B: #11456@71] Sensed 1 robots
[B: #11061@71] Can sense kingLoc [55, 28] ? false at distSquared 634
[B: #12806@71] Sensed 0 robots
[B: #10072@71] Can sense kingLoc [55, 28] ? false at distSquared 1033
[B: #11028@71] Sensed 0 robots
[B: #12917@71] Sensed 0 robots
[B: #11118@71] Sensed 0 robots
[B: #10120@72] Sensed 0 robots
[B: #10819@72] Sensed 0 robots
[B: #13990@72] Going straight to cheese mine at [37, 33]
[B: #11456@72] Sensed 0 robots
[B: #11061@72] Can sense kingLoc [55, 28] ? false at distSquared 585
[B: #12806@72] Sensed 0 robots
